RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,Does the claimant have their information recorded on file with eHealthier?,Claimant's case identification code - Open-Ended Response,Please enter the claimant's information in the fields below - First Name,Please enter the claimant's information in the fields below - Initials,Please enter the claimant's information in the fields below - Last Name,Please enter the claimant's information in the fields below - Date of birth (DD/MM/YYYY),Please enter the claimant's information in the fields below - Gender (M or F or U),Please enter the claimant's information in the fields below - Employer's full name,Please enter the Nominated Treating Doctor's information in the fields below - First Name,Please enter the Nominated Treating Doctor's information in the fields below - Initials,Please enter the Nominated Treating Doctor's information in the fields below - Last name,Please enter the Nominated Treating Doctor's information in the fields below - Provider Number,"Please enter the email address to which all results will be sent (this will provide access to all of your claimants' results and thus should be a unique email address used solely for eHealthier data monitoring). For privacy reasons, it is highly recommended that access to the email address be restricted and closely monitored. - Open-Ended Response",Does the claimant have additional health practitioners associated with their treatment?,Nominated Treating Specialist details - Name,Nominated Treating Specialist details - Provider number,"Nominated Treating Therapist (e.g. physiotherapist, chiropractor, osteopath and other approved providers) details - Type of therapist (e.g. physiotherapist, chiropractor, osteopath and other approved providers)","Nominated Treating Therapist (e.g. physiotherapist, chiropractor, osteopath and other approved providers) details - Name","Nominated Treating Therapist (e.g. physiotherapist, chiropractor, osteopath and other approved providers) details - Provider number","Other Ancillary Health Providers (e.g. remedial masseur, psychologist, exercise physiologist, dietician) - Type of practitioner (e.g. remedial masseur, psychologist, exercise physiologist, dietician)","Other Ancillary Health Providers (e.g. remedial masseur, psychologist, exercise physiologist, dietician) - Name","Other Ancillary Health Providers (e.g. remedial masseur, psychologist, exercise physiologist, dietician) - Provider number",Rehabilitation Provider - Type,Rehabilitation Provider - Name,Rehabilitation Provider - Provider number,Descending stairs,Getting in/out of bath or shower,Sitting,Running,Twisting/pivoting on your loaded leg
3821580682,62430165,3-21-2015 0:59:13,3-21-2015 1:00:25,58.173.113.107,,ClaimantFName,ClaimantLastName,code12345688,"No, I want to input the claim's particulars",code12345688,ClaimantFName,ClaimantInitials,ClaimantLastName,5/4/1961,M,EmployerFullName,DocFName,DocInitials,,,jamesbenjamin1961@gmail.com,,,,,,,,,,,,,Extreme,Moderate,None,Severe,Mild
3982767182,68926268,5-22-2015 1:12:00,5-22-2015 1:12:44,58.173.113.97,,,,,"Yes, I have the client identification code",1234568,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Moderate,Extreme,None
3982884156,68182437,5-22-2015 2:55:22,5-22-2015 2:56:01,58.173.113.97,,,,,"Yes, I have the client identification code",12345,,,,,,,,,,,,,,,,,,,,,,,,Mild,Mild,Mild,Mild,Moderate
3986760132,68926268,5-25-2015 0:58:27,5-25-2015 0:59:01,58.173.113.97,,,,,"Yes, I have the client identification code",1235,,,,,,,,,,,,,,,,,,,,,,,,Mild,Mild,Mild,Mild,Mild
3986757339,68182437,5-25-2015 0:54:33,5-25-2015 0:55:12,58.173.113.97,,,,,"Yes, I have the client identification code",1235,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Moderate,None,Extreme
3987029050,68182437,5-25-2015 7:22:05,5-25-2015 7:22:52,58.173.113.97,,,,,"Yes, I have the client identification code",123,,,,,,,,,,,,,,,,,,,,,,,,Mild,None,None,Severe,Extreme
4023691966,68182437,6-11-2015 3:08:20,6-11-2015 3:34:57,137.154.234.116,,,,,"Yes, I have the client identification code",retjrur,,,,,,,,,,,,,,,,,,,,,,,,None,Mild,Mild,Severe,Extreme
4026027762,68182437,6-12-2015 1:49:11,6-12-2015 1:53:29,58.173.113.97,,,,,"Yes, I have the client identification code",JudyIdelson,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None
4026128267,68926268,6-12-2015 3:18:17,6-12-2015 3:20:40,58.173.113.97,,ClaimName,Benjamin,,"No, I want to input the claim's particulars",sssss,ClaimName,James,Benjamin,4/24/1961,M,Empname,fdvadsfvavfdfvafdv,James,Benjamin,3e1ee,,Yes,James Benjamin,fdvafv,fvafv,James Benjamin,fdvdfvdfv,fdvffdv,James Benjamin,nghnghgnhgnn,nghngngfn,James Benjamin,ndnnn,Mild,Moderate,Moderate,Severe,Extreme
4023691966,68182437,6-11-2015 3:08:20,6-11-2015 3:34:57,137.154.234.116,,,,,"Yes, I have the client identification code",retjrur,,,,,,,,,,,,,,,,,,,,,,,,None,Mild,,Severe,Extreme
4026364257,68926268,6-12-2015 7:42:38,6-12-2015 7:42:54,58.173.113.97,,,,,"Yes, I have the client identification code",12345678790ab,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None
4106067953,68926268,7-27-2015 2:52:37,7-27-2015 2:54:07,58.173.113.97,jamesbenjamin1961@gmail.com,ClaimName,Benjamin,,"No, I want to input the claim's particulars",NewCodeTest,ClaimName,ClaimInit,Benjamin,4/24/1961,M,Empname,fdvadsfvavfdfvafdv,James,Benjamin,3e1ee,jamesbenjamin1961@gmail.com,Yes,James Benjamin,fdvafv,fvafv,James Benjamin,fdvdfvdfv,fdvffdv,James Benjamin,nghnghgnhgnn,nghngngfn,James Benjamin,ndnnn,Moderate,Moderate,Moderate,Moderate,Moderate
4106066346,68926268,7-27-2015 2:50:31,7-27-2015 2:51:37,58.173.113.97,,,,,"Yes, I have the client identification code",sdfSDFASDFAS,,,,,,,,,,,,,,,,,,,,,,,,Mild,Mild,Mild,Mild,Mild
4174990924,68926268,9-3-2015 1:15:30,9-3-2015 1:16:51,202.58.230.140,,,,,"Yes, I have the client identification code",123456789,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,None,Mild,Moderate
4175311302,68926268,9-3-2015 6:29:25,9-3-2015 7:07:01,58.173.113.97,,,,,"Yes, I have the client identification code",123,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Mild,Severe,Moderate
4177470113,68926268,9-4-2015 3:55:34,9-4-2015 6:04:13,58.173.113.97,,,,,"Yes, I have the client identification code",sdfSDFASDFAS,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Moderate,Severe,Moderate
4294168933,68926268,10-30-2015 0:38:21,10-30-2015 0:39:21,58.172.41.145,,,,,"Yes, I have the client identification code",sdfSDFASDFAS,,,,,,,,,,,,,,,,,,,,,,,,Mild,Mild,None,Mild,Moderate
4294297490,68926268,10-30-2015 2:14:18,10-30-2015 2:14:52,58.172.41.145,,,,,"Yes, I have the client identification code",sdfSDFASDFAS,,,,,,,,,,,,,,,,,,,,,,,,Mild,Severe,Extreme,Extreme,Extreme
4310359072,68926268,11-6-2015 4:20:18,11-6-2015 4:21:22,58.172.41.145,,,,,"Yes, I have the client identification code",sdfSDFASDFAS,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Moderate,Moderate,Mild,Severe
4310363863,68926268,11-6-2015 4:25:06,11-6-2015 4:25:52,58.172.41.145,,,,,"Yes, I have the client identification code",Ttyffhgh,,,,,,,,,,,,,,,,,,,,,,,,Mild,Mild,Mild,Mild,Mild
4345081037,68926268,11-20-2015 1:00:16,11-20-2015 1:00:51,58.172.41.145,,,,,"Yes, I have the client identification code",BumbleB,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Mild,None,None,None
4345402177,68926268,11-20-2015 5:02:24,11-20-2015 5:05:50,58.172.41.145,eddie.price8@gmail.com,Eddie,Price,,"No, I want to input the claim's particulars",eddietest,Eddie,,Price,9/2/1946,M,CSMS,James,, Benjamin,567565656,eddie.price8@gmail.com,No,,,,,,,,,,,,Mild,Mild,None,None,None
4472319440,68926268,1-27-2016 22:15:45,1-27-2016 22:17:12,86.165.140.18,,,,,"Yes, I have the client identification code",test123,,,,,,,,,,,,,,,,,,,,,,,,None,Mild,Mild,Extreme,Extreme
4638734659,68926268,4-6-2016 3:22:31,4-6-2016 3:47:26,49.180.171.143,,,,,"Yes, I have the client identification code",test123,,,,,,,,,,,,,,,,,,,,,,,,None,Mild,Mild,Mild,Moderate
4686259101,68926268,4-26-2016 22:51:40,4-26-2016 22:53:48,49.180.154.110,,,,,"Yes, I have the client identification code",1234,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Mild,Mild,Moderate
4686391758,68926268,4-27-2016 0:09:01,4-27-2016 0:10:31,103.22.198.10,,,,,"Yes, I have the client identification code",testepjp,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Severe,Mild,Extreme,Moderate
4835563073,68926268,7-5-2016 6:31:07,7-5-2016 6:34:00,203.109.83.130,,,,,"Yes, I have the client identification code",PRAJAPATI14051988,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Severe,Severe,Moderate,Moderate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
